Fantasy_Game_ID,simplified_name,Sofascore_ID
55454,arsenzakharyan,1066045
55462,silviclúa,1513673
55463,santigarcía,1084746
55464,gorkarivera,1390614
55484,máximoperrone,1086286
55518,ianishagi,756344
55519,kierantierney,366592
55523,anastasiosdouvikas,894863
556,gerardgumbau,326471
55649,romanyaremchuk,829296
55654,nicopaz,1171451
55656,jhonsolís,1106573
55662,boubakarysoumaré,887581
55663,mihailoristić,363774
55666,álvarofernández,852412
55666,álvarofernández,1085081
55667,rominiguekouamé,846446
55668,masongreenwood,942116
55738,césartárrega,996928
55743,carlosromero,1396048
55754,assanediao,1493689
55790,ricardovisus,1046322
55794,marcguiu,1414933
55966,adriàaltimira,980732
56,claudiobravo,13249
561,marcosllorente,353138
564,mikeloyarzabal,823622
5642,óscarmelendo,861317
5653,tonilato,828239
5691,álvaroodriozola,353250
5916,jonguridi,788141
5917,igorzubeldia,838159
5920,carlesaleñá,794937
6025,raúlfernández,31828
6035,ivánvillar,848980
6040,nemanjamaksimović,331449
6041,jesúsvallejo,355048
6053,juanpe,129861
6057,rubénalcaraz,259339
6061,amathndiaye,845168
6068,ivánalejo,352486
607,borjamayoral,604954
63,marcbartra,99519
7025,markodmitrović,94527
73,ivanrakitić,7635
74,sergiroberto,123976
7775,andrésguardado,14942
7784,unainúñez,892521
7843,mariohermoso,353130
7845,adnanjanuzaj,328145
7893,antoniosivera,369004
79,munirelhaddadi,350170
8952,jesúsnavas,11869
8953,pablomaffeo,788216
91,germánpezzella,158241
96,daniceballos,547838
